FKL15A,ICD10_Text,Kategori
Y86,Y86 Sequelae of other accidents,Penyakit Lainnya
Y89,Y89 Sequelae of other external causes,Penyakit Lainnya
Y90,Y90 Evidence of alcohol involvement determined by blood alcohol level,Penyakit Lainnya
Y96,Y96 Work-related condition,Penyakit Lainnya
Z37,Z37 Outcome of delivery,Penyakit Lainnya
Z57,Z57 Occupational exposure to risk-factors,Penyakit Lainnya
Z62,Z62 Other problems related to upbringing,Penyakit Lainnya
Z63,"Z63 Other problems related to primary support group, including family circumstances",Penyakit Lainnya
Z64,Z64 Problems related to certain psychosocial circumstances,Penyakit Lainnya
A70,A70 Chlamydia psittaci infection,Penyakit Lainnya
E51,E51 Thiamine deficiency,Penyakit Lainnya
E56,E56 Other vitamin deficiencies,Penyakit Lainnya
E76,E76 Disorders of glycosaminoglycan metabolism,Penyakit Lainnya
E90,E90 Nutritional and metabolic disorders in diseases classified elsewhere,Penyakit Lainnya
F55,F55 Abuse of non-dependence-producing substances,Penyakit Lainnya
G08,G08 Intracranial and intraspinal phlebitis and thrombophlebitis,Penyakit Lainnya
P26,P26 Pulmonary haemorrhage originating in the perinatal period,Penyakit Lainnya
P56,P56 Hydrops fetalis due to haemolytic disease,Penyakit Lainnya
P91,P91 Other disturbances of cerebral status of newborn,Penyakit Lainnya
Q32,Q32 Congenital malformations of trachea and bronchus,Penyakit Lainnya
Q39,Q39 Congenital malformations of oesophagus,Penyakit Lainnya
Q73,Q73 Reduction defects of unspecified limb,Penyakit Lainnya
Q92,"Q92 Other trisomies and partial trisomies of the autosomes, not elsewhere classified",Penyakit Lainnya
Q95,"Q95 Balanced rearrangements and structural markers, not elsewhere classified",Penyakit Lainnya
Q98,"Q98 Other sex chromosome abnormalities, male phenotype, not elsewhere classified",Penyakit Lainnya
R84,R84 Abnormal findings in specimens from respiratory organs and thorax,Penyakit Lainnya
R85,R85 Abnormal findings in specimens from digestive organs and abdominal cavity,Penyakit Lainnya
S75,S75 Injury of blood vessels at hip and thigh level,Penyakit Lainnya
T48,T48 Poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system,Penyakit Lainnya
T53,T53 Toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbons,Penyakit Lainnya
T57,T57 Toxic effect of other inorganic substances,Penyakit Lainnya
T73,T73 Effects of other deprivation,Penyakit Lainnya
U04,U04 Severe acute respiratory syndrome [SARS],Penyakit Lainnya
U40,"U40 Severe acute respiratory syndrome, unspefied (SARS)",Penyakit Lainnya
U80,U80 Methicillin resistant agent,Penyakit Lainnya
U89,U89 Agent resistant to other single specified antibiotic,Penyakit Lainnya
V02,V02 Pedestrian injured in collision with two- or three-wheeled motor vehicle,Kecelakaan
V20,V20 Motorcycle rider injured in collision with pedestrian or animal,Kecelakaan
V23,"V23 Motorcycle rider injured in collision with car, pick-up truck or van",Kecelakaan
V43,"V43 Car occupant injured in collision with car, pick-up truck or van",Kecelakaan
V49,V49 Car occupant injured in other and unspecified transport accidents,Kecelakaan
V58,V58 Occupant of pick-up truck or van injured in noncollision transport accident,Kecelakaan
V59,V59 Occupant of pick-up truck or van injured in other and unspecified transport accidents,Kecelakaan
V79,V79 Bus occupant injured in other and unspecified transport accidents,Kecelakaan
V80,V80 Animal-rider or occupant of animal-drawn vehicle injured in transport accident,Kecelakaan
V81,V81 Occupant of railway train or railway vehicle injured in transport accident,Kecelakaan
V86,"V86 Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident",Kecelakaan
V87,V87 Traffic accident of specified type but victim's mode of transport unknown,Kecelakaan
V88,V88 Nontraffic accident of specified type but victim's mode of transport unknown,Kecelakaan
V92,V92 Water-transport-related drowning and submersion without accident to watercraft,Kecelakaan
V95,V95 Accident to powered aircraft causing injury to occupant,Kecelakaan
V99,V99 Unspecified transport accident,Kecelakaan
W04,W04 Fall while being carried or supported by other persons,Penyakit Lainnya
W05,W05 Fall involving wheelchair,Penyakit Lainnya
W08,W08 Fall involving other furniture,Penyakit Lainnya
W17,W17 Other fall from one level to another,Penyakit Lainnya
W41,W41 Exposure to high-pressure jet,Penyakit Lainnya
W42,W42 Exposure to noise,Penyakit Lainnya
W68,W68 Drowning and submersion following fall into swimming-pool,Penyakit Lainnya
W86,W86 Exposure to other specified electric current,Penyakit Lainnya
W87,W87 Exposure to unspecified electric current,Penyakit Lainnya
W89,W89 Exposure to man-made visible and ultraviolet light,Penyakit Lainnya
X06,X06 Exposure to ignition or melting of other clothing and apparel,Penyakit Lainnya
X10,"X10 Contact with hot drinks, food, fats and cooking oils",Penyakit Lainnya
X23,"X23 Contact with hornets, wasps and bees",Penyakit Lainnya
X37,X37 Victim of cataclysmic storm,Penyakit Lainnya
X46,X46 Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,Penyakit Lainnya
X52,X52 Prolonged stay in weightless environment,Penyakit Lainnya
X53,X53 Lack of food,Penyakit Lainnya
X79,X79 Intentional self-harm by blunt object,Penyakit Lainnya
X86,X86 Assault by corrosive substance,Penyakit Lainnya
Y00,Y00 Assault by blunt object,Penyakit Lainnya
Y02,Y02 Assault by pushing or placing victim before moving object,Penyakit Lainnya
Y04,Y04 Assault by bodily force,Penyakit Lainnya
Y11,"Y11 Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",Penyakit Lainnya
Y29,"Y29 Contact with blunt object, undetermined intent",Penyakit Lainnya
Y31,"Y31 Falling, lying or running before or into moving object, undetermined intent",Penyakit Lainnya
Y36,Y36 Operations of war,Penyakit Lainnya
Y43,Y43 Primarily systemic agents,Penyakit Lainnya
Y44,Y44 Agents primarily affecting blood constituents,Penyakit Lainnya
Y52,Y52 Agents primarily affecting the cardiovascular system,Penyakit Lainnya
Y59,Y59 Other and unspecified vaccines and biological substances,Penyakit Lainnya
Y65,Y65 Other misadventures during surgical and medical care,Penyakit Lainnya
Y77,Y77 Ophthalmic devices associated with adverse incidents,Penyakit Lainnya
Y88,Y88 Sequelae with surgical and medical care as external cause,Penyakit Lainnya
Z55,Z55 Problems related to education and literacy,Penyakit Lainnya
,,Penyakit Lainnya
